title,author,preview
"서울시, '상습정체' 강남 테헤란로 등 지하화 추진 검토",파이낸셜뉴스,"서울시가 상습 정체 구간인 강남구 테헤란로, 언주로, 도곡로를 지하화하는 방안을 검토한다. 26일 서울시에 따르면 시는 '테헤란 …"
INDONESIA CYCLING,EPA연합뉴스,UCI Track Cycling Nations Cup Roger Kluge (R) and Theo Reinhardt (L) of …
INDONESIA CYCLING,EPA연합뉴스,UCI Track Cycling Nations Cup Japanese Sato Mina jubilates after the Wo …
INDONESIA CYCLING,EPA연합뉴스,UCI Track Cycling Nations Cup Japanese Sato Mina (L) jubilates after th …
INDONESIA CYCLING,EPA연합뉴스,UCI Track Cycling Nations Cup Dutch cyclist Harrie Lavreysen jubilates  …
Nigeria Elections,AP연합뉴스,Police officers patrol the area at the entrance of the Independent Nati …
Israel Palestinians,AP연합뉴스,FILE - Palestinian demonstrators clash with the Israeli army while forc …
Election 2024 South Carolina,AP연합뉴스,Joe Biden FILE - President Joe Biden and Vice President Kamala Harris s …
Election 2024 South Carolina,AP연합뉴스,"Tim Scott FILE - Sen. Tim Scott, R-S.C., gives a speech at a Black Hist …"
"[사설] ‘정순신 아들 학폭’, 윤 대통령·한동훈 장관은 몰랐나",경향신문,"| 한국 사회에서 가족은 중요한 안전망으로 기능해왔다. 높은 출산율과 적극적인 교육투자로 재생산을 담당했고, 노인 돌봄과 환자  …"
"‘월드컵 영웅’ 황희찬, 기부도 ‘월드클래스’… 고향사랑기부제 ‘최고액’ 기탁",경향신문,| 김기현 국민의힘 당대표 후보의 ‘울산 땅 의혹’이 확산되고 있다. 울산 KTX역 연계도로가 기존 계획과 달리 김 후보가 19 …
이언 플레밍의 007 시리즈 인종차별 표현 수정해 4월 재출간,경향신문,| 지난 24일 경찰청 국가수사본부장에 임명된 정순신 변호사가 취임도 못하고 하루 만에 물러났다. 아들의 학교폭력(학폭) 문제로 …
"만취 고교생, 친구와 다투던 중 흉기 휘둘러 살해…현행범 체포",세계일보,"국가대표 황희찬, 포항에 고향사랑기부금 연간 최고 한도금액인 500만 원 기탁 학창 시절 보낸 포항 응원하며 ‘선한 영향력’…  …"
[여적] 정치적 올바름과 문학,서울신문,영국 작가 이언 플레밍(1908~1964)의 소설 ‘007’ 시리즈가 오는 4월 인종차별적 표현을 대거 바로잡아 재발간된다고 영 …
"안철수 우군 서병수·이재오…""국힘 이념 들어맞아"" ""난국 이끌 것""",이데일리,만취한 상태에서 흉기를 휘둘러 친구를 숨지게 한 고교생이 경찰에 현행범으로 체포됐다. 서산경찰서는 26일 오전 7시39분께 충남 …
State Republican Parties,경향신문,| 손제민 기자 ‘뚱뚱하다’ ‘못생겼다’ ‘이중턱’…. 어린이들이 문학 작품에서 읽기에 부적절한 말일까. 문학과 정치적 올바름에 …
Election 2024 South Carolina,뉴시스,"기사내용 요약 安, 국민의힘 수도권 총선 필승 전략 토크쇼 ""당원들, 누가 민심 가져올 후보인가 판단할 것"" ""정책은 대통령 책 …"
Election 2024 South Carolina,AP연합뉴스,"FILE - Mike Brown, an Overland Park, Kan., Republican activist, greets  …"
